Material (compound);Physical property;Numerical value;Unit;Temperature;Reference;;;
AgSbTe2; Yb0.2Co4Sb12;ZT value;1.27;unitless;300 °C;10.1016/j.intermet.2013.07.009;;
Ag self-doped Ag2Te;ZT value;1.1;dimensionless;623 K;10.1007/s10854-024-13037-x;;;
AgSn4SbTe6;ZT value;1;unitless;723 K;10.1016/j.jallcom.2016.06.133;;;
AgSn4SbTe6;ZT value;1;unitless;723 K;10.1016/j.jallcom.2016.06.133;;;
Ag; Tb co-doped Ca3Co4O9 (Ca2.98Tb0.01Ag0.01Co4O9);ZT value;0.22;dimensionless;800 °C;10.1007/s11664-022-09692-7;;
AgTlTe;ZT value;0.61;dimensionless;580 K;10.1134/S0020168515010082;;;
Agx(Pb;Sn)mSbyTe2+m;ZT value;1.45;unitless;630 K;10.1016/j.actamat.2012.11.027;;
AgxSb2−xTe3−x;ZT value;1.53;unitless;500 K;10.1016/j.jallcom.2010.06.195;;;
Al0.05La0.5Co4Sb12;ZT value;1.36;dimensionless;789 K;10.1007/s13369-024-09340-8;;;
Al0.1Yb0.25Co4Sb12;ZT value;0.93;dimensionless;800 K;10.1007/s10853-017-0772-8;;;
Al2Fe3Si3;ZT value;0.06;unitless;580 K;10.1016/j.intermet.2017.05.019;;;
Al2Fe3Si3;ZT value;0.06;unitless;580 K;10.1016/j.intermet.2017.05.019;;;
Al32Cr2.5Mn31.5Si34 C54-phase;ZT value;0.06;dimensionless;600 K;10.1007/s11664-011-1531-2;;;
Al68Ga3Pd20Mn9;ZT value;0.26;dimensionless;473 K;10.1007/s11664-009-1065-z;;;
Al71Pd20Mn9;ZT value;0.18;dimensionless;473 K;10.1007/s11664-009-1065-z;;;
Al71Pd20Re9 quasicrystal (QC);ZT value;0.1;dimensionless;298.15 K;10.1007/s11664-009-1065-z;;;
Al-containing ZnO nanocomposite;ZT value;0.44;dimensionless;1000 K;10.1007/s10853-024-10380-6;;;
Al-doped Bi2S3 (Bi1.99Al0.01S3);ZT value;0.29;dimensionless;740 K;10.1007/s10854-022-09007-w;;;
Al-doped Bi2S3 (Bi1.99Al0.01S3);ZT value;0.29;dimensionless;740 K;10.1007/s10854-022-09007-w;;;
Al-doped Bi2S3 (Bi1.99Al0.01S3);ZT value;0.29;dimensionless;740 K;10.1007/s10854-022-09007-w;;;
Al-doped BiCuSeO (x = 0.075);ZT value;0.65;dimensionless;873 K;10.1007/s12666-021-02308-4;;;
Al-doped BiCuSeO (x = 0.1);ZT value;0.21;dimensionless;873 K;10.1007/s11664-021-08862-3;;;
Al-doped Ca3Co4O9 (x = 0.1);ZT value;0.14;dimensionless;700 K;10.1007/s10854-020-04212-x;;;
Al-doped Cu2Se;ZT value;2.62;dimensionless;1029 K;10.1007/s11664-023-10808-w;;;
Al-doped Cu2Se (Cu1.94Al0.02Se);ZT value;2.62;dimensionless;756 °C;10.1007/s13391-023-00422-7;;;
Al-doped Cu2Se (Cu1.94Al0.02Se);ZT value;2.62;dimensionless;1029 K;10.1007/s11664-022-10196-7;;;
Al-doped higher manganese silicide (Mn(AlxSi1−x)1.80; x=0.0015);ZT value;0.65;dimensionless;850 K;10.1007/s11664-011-1612-2;;
Al-doped (In1.9Te3)0.08(SnTe)0.92 alloy;ZT value;0.28;dimensionless;668 K;10.1007/s11664-010-1462-3;;;
Al-doped Mg2Si;ZT value;1.15;dimensionless;873 K;10.1557/adv.2016.374;;;
Al-doped Mg2Si0.9Sn0.1 (Al = 0.02);ZT value;0.68;dimensionless;864 K;10.1007/s10853-015-8960-x;;;
Al-doped ZnO;ZT value;1.37;dimensionless;340 K;10.1038/s44172-024-00291-4;;;
Al;Ga co-doped ZnO;ZT value;0.65;dimensionless;970 °C;10.1007/s11664-020-08127-5;;
Al;Ga co-doped ZnO (Zn0.96Al0.02Ga0.02O nanocomposite);ZT value;0.65;dimensionless;1273 K;10.1557/jmr.2011.108;;
Al;Ga-dually doped ZnO (Zn0.96Al0.02Ga0.02O);ZT value;0.65;dimensionless;1247 K;10.1007/s10854-017-6982-7;;
Al;Ge-doped MnSi1.73;ZT value;0.38;dimensionless;815 K;10.1007/s11664-015-3854-x;;
AlInN;ZT value;0.532;unitless;300 K;10.1016/j.jcrysgro.2011.12.037;;;
Al; Mo; Ge-doped MnSi1.73;ZT value;0.09;dimensionless;325 K;10.1007/s11664-015-3854-x;
Aluminium-doped zinc oxide (AZO);ZT value;1.37;dimensionless;340 K;10.1038/s44172-024-00291-4;;;
Annealed Bi0.5Sb1.5Te3 film;ZT value;0.52;dimensionless;298.15 K;10.1007/s11664-020-08126-6;;;
Antimonene;ZT value;2.15;dimensionless;298.15 K;10.1038/s41524-021-00619-0;;;
Antimonene;ZT value;2.9;dimensionless;298.15 K;10.1038/s41524-021-00619-0;;;
arc-melted Fe2V0.98Ta0.10Al0.92;ZT value;0.29;dimensionless;400 K;10.1007/s00339-022-05329-y;;;
Armchair WSe2 nanoribbons;ZT value;2.14;dimensionless;500 K;10.1038/srep41418;;;
AuI2;ZT value;2.70E-02;unitless;155 K;10.1016/j.physb.2009.11.078;;;
AuI2;ZT value;1.50E-02;unitless;180 K;10.1016/j.physb.2009.11.078;;;
AuI2;ZT value;5.40E-03;unitless;78 K;10.1016/j.physb.2009.11.078;;;
AyFe4−xCoxSb12;ZT value;0.9-1;unitless;700 K;10.1016/j.physb.2006.03.068;;;
AZO;ZT value;0.1;unitless;1200 °C;10.1016/j.jallcom.2012.04.029;;;
B0.5Sb1.5Te3 (BST);ZT value;1.16;dimensionless;350 K;10.1007/s10853-022-07532-x;;;
B0.5Sb1.5Te3 (optimized mixed-grain structured sample);ZT value;1.16;dimensionless;350 K;10.1007/s10853-022-07532-x;;;
B2BiN;ZT value;1;dimensionless;298.15 K;10.1007/s00339-020-03725-w;;;
B2BiN;ZT value;0.96;dimensionless;300 K;10.1007/s00339-020-03725-w;;;
B2Cl;ZT value;1.42;dimensionless;300 K;10.1007/s12274-021-3908-8;;;
B4C;ZT value;0.25;unitless;1200 K;10.1016/j.jeurceramsoc.2013.08.013;;;
B4C;ZT value;0.032;unitless;1200 °C;10.1016/j.solidstatesciences.2015.04.007;;;
Ba0.03Sr0.01DD0.10Yb0.02Fe2.4Ni1.6Sb12;ZT value;0.53;unitless;723 K;10.1016/j.actamat.2013.03.031;;;
Ba0.08La0.05Yb0.04Co4Sb12;ZT value;1.7;unitless;850 K;10.1016/j.rser.2013.10.027;;;
Ba0.08La0.05Yb0.04Co4Sb12;ZT value;1.7;unitless;850 K;10.1016/j.pnsc.2012.11.011;;;
Ba0.08La0.05Yb0.04Co4Sb12;ZT value;1.7;unitless;850 K;10.1016/j.nanoen.2012.10.005;;;
Ba0.08La0.05Yb0.04Co4Sb12;ZT value;1.7;dimensionless;850 K;10.1007/s10853-012-6891-3;;;
Ba0.08La0.05Yb0.04Co4Sb12;ZT value;1.7;unitless;800 K;10.1016/j.jallcom.2013.03.206;;;
Ba0.08La0.05Yb0.04Co4Sb12;ZT value;1.7;unitless;850 K;10.1016/j.actamat.2013.09.039;;;
Ba0.08La0.05Yb0.04Co4Sb12;ZT value;1.7;unitless;850 K;10.1016/j.nanoen.2011.10.001;;;
Ba0.08La0.05Yb0.04Co4Sb12;ZT value;1.7;dimensionless;850 K;10.1007/s42247-020-00092-3;;;
Ba0.08La0.05Yb0.04Co4Sb12;ZT value;1.7;unitless;850 K;10.1016/j.intermet.2011.10.023;;;
Ba0.08Yb0.04La0.05Co4Sb12;ZT value;1.8;unitless;900 K;10.1016/j.pmatsci.2016.07.002;;;
Ba0.08Yb0.09Co4Sb12.12;ZT value;1.3;dimensionless;800 K;10.1007/s42247-020-00092-3;;;
Ba0.08Yb0.14Eu0.10Co4Sb12;ZT value;1.3;unitless;800 K;10.1016/j.rser.2013.10.027;;;
Ba0.09Sr0.02DD0.22Yb0.02Fe2.4Ni1.6Sb12;ZT value;1.02;unitless;623 K;10.1016/j.actamat.2013.03.031;;;
Ba0.125Bi0.875Cu0.85Co0.15SeO;ZT value;0.082;unitless;350 K;10.1016/j.jallcom.2017.04.031;;;
Ba0.125Bi0.875Cu0.85Co0.15SeO;ZT value;0.06;unitless;300 K;10.1016/j.jallcom.2017.04.031;;;
Ba0.125Bi0.875Cu0.85Co0.15SeO;ZT value;0.082;unitless;350 K;10.1016/j.jallcom.2017.04.031;;;
Ba0.125Bi0.875Cu0.85Co0.15SeO;ZT value;0.082;unitless;350 K;10.1016/j.jallcom.2017.04.031;;;
Ba0.18Ce0.05Co4Sb12.02;ZT value;1.26;unitless;850 K;10.1016/j.actamat.2009.03.018;;;
Ba0.18Ce0.05Co4Sb12.02;ZT value;1.26;unitless;850 K;10.1016/j.actamat.2009.03.018;;;
Ba0.18Ce0.05Co4Sb12.02;ZT value;1.26;unitless;850 K;10.1016/j.actamat.2009.03.018;;;
Ba0.18Ce0.05Co4Sb12.02 skutterudite;ZT value;1.26;dimensionless;850 K;10.1038/ncomms8584;;;
Ba0.19CoO2;ZT value;0.21;unitless;800 K;10.1016/j.scriptamat.2014.12.014;;;
Ba0.19CoO2;ZT value;0.21;unitless;800 K;10.1016/j.scriptamat.2014.12.014;;;
Ba0.19CoO2;ZT value;0.21;unitless;800 K;10.1016/j.scriptamat.2014.12.014;;;
Ba0.1Yb0.2Fe0.1Co3.9Sb12;ZT value;1.2;unitless;750 K;10.1016/j.jssc.2012.08.025;;;
Ba0.22Co4Sb12;ZT value;1.1;unitless;850 K;10.1016/j.solidstatesciences.2009.06.007;;;
Ba0.23Co4Sb12;ZT value;>0.9;unitless;800 K;10.1016/j.jallcom.2016.10.114;;;
Ba0.24Co4Sb12;ZT value;1;unitless;800 K;10.1016/j.jallcom.2016.10.114;;;
Ba0.25Pb0.05Co4Sb11.5Te0.5;ZT value;1;unitless;730 K;10.1016/j.matlet.2011.02.062;;;
Ba0.25Pb0.05Co4Sb11.5Te0.5;ZT value;1;unitless;720 K;10.1016/j.matlet.2011.02.062;;;
Ba0.28CoO2;ZT value;0.14;unitless;800 K;10.1016/j.scriptamat.2014.12.014;;;
Ba0.28CoO2;ZT value;0.14;unitless;800 K;10.1016/j.scriptamat.2014.12.014;;;
Ba0.2Sr1.8TiCoO6;ZT value;0.3;dimensionless;1220 K;10.1557/jmr.2018.376;;;
Ba0.30CoO2;ZT value;0.17;unitless;800 K;10.1016/j.scriptamat.2014.12.014;;;
Ba0.30CoO2;ZT value;0.17;unitless;800 K;10.1016/j.scriptamat.2014.12.014;;;
Ba0.33CoO2;ZT value;0.16;unitless;800 K;10.1016/j.scriptamat.2014.12.014;;;
Ba0.33CoO2;ZT value;0.16;unitless;800 K;10.1016/j.scriptamat.2014.12.014;;;
Ba0.372Co4Sb12;ZT value;1;dimensionless;663 K;10.1007/s11837-023-06150-5;;;
Ba0.3In0.2Co3.95Ni0.05Sb12;ZT value;1.2;dimensionless;800 K;10.1007/s10854-017-7466-5;;;
Ba0.3In0.2Co3.95Ni0.05Sb12;ZT value;1.2;unitless;800 K;10.1016/j.actamat.2011.01.064;;;
Ba0.3In0.2Co3.95Ni0.05Sb12/SiO2 nanostructured skutterudite;ZT value;1;dimensionless;800 K;10.1007/s11664-010-1116-5;;;
Ba0.3Ni0.05Co3.95Sb12;ZT value;1.25;unitless;630 °C;10.1016/j.rser.2013.03.008;;;
Ba0.3Ni0.05Co3.95Sb12;ZT value;1.25;unitless;900 K;10.1016/j.jallcom.2005.03.032;;;
Ba0.3Ni0.15Co3.85Sb12;ZT value;0.91;unitless;700 K;10.1016/j.jallcom.2017.11.030;;;
Ba0.3Ni0.15Co3.85Sb12;ZT value;0.91;unitless;700 K;10.1016/j.jallcom.2017.11.030;;;
Ba0.3Ni0.15Co3.85Sb12;ZT value;0.91;unitless;700 K;10.1016/j.jallcom.2017.11.030;;;
Ba0.3Ni0.15Co3.85Sb12;ZT value;0.91;unitless;700 K;10.1016/j.jallcom.2017.11.030;;;
Ba0.3Yb0.3Fe0.4Co3.6Sb12;ZT value;1.35;unitless;800 K;10.1016/j.jallcom.2013.09.124;;;
Ba0.3Yb0.3Fe0.4Co3.6Sb12;ZT value;1.35;unitless;800 K;10.1016/j.jallcom.2013.09.124;;;
Ba0.3Yb0.3Fe0.4Co3.6Sb12;ZT value;1.35;unitless;800 K;10.1016/j.jallcom.2013.09.124;;;
Ba0.3Yb0.3Fe0.4Co3.6Sb12;ZT value;1.35;unitless;800 K;10.1016/j.jallcom.2013.09.124;;;
Ba0.4Co4Sb12;ZT value;0.92;unitless;573 K;10.1016/j.jallcom.2016.10.114;;;
Ba0.4Co4Sb12;ZT value;0.31;unitless;573 K;10.1016/j.jallcom.2016.10.114;;;
Ba0.4In0.2Co4Sb12;ZT value;1.19;dimensionless;800 K;10.1007/s11664-012-2021-x;;;
Ba0.4In0.4Co4Sb12;ZT value;1.25;dimensionless;800 K;10.1007/s11664-012-2021-x;;;
Ba0.4In0.4Co4Sb12;ZT value;1.25;dimensionless;800 K;10.1007/s11664-012-2021-x;;;
Ba0.78Eu0.2AgSb;ZT value;0.73;dimensionless;773 K;10.1007/s40843-020-1640-2;;;
Ba0.98AgSb;ZT value;0.56;dimensionless;773 K;10.1007/s40843-020-1640-2;;;
Ba1.2Rh8O16;ZT value;0.02;unitless;200 K;10.1016/j.pmatsci.2013.06.003;;;
Ba24Ge100;ZT value;0.14;unitless;670 °C;10.1016/j.actamat.2005.12.032;;;
Ba2AgSb;ZT value;0.88;dimensionless;300 K;10.1007/s12648-020-01943-9;;;
Ba2CaMO6 (M = S; Se);ZT value;0.76;dimensionless;298.15 K;10.1007/s10904-025-03800-w;;
Ba2CaSeO6;ZT value;0.77;dimensionless;300 K;10.1007/s10904-025-03800-w;;;
Ba2CaSO6;ZT value;0.76;dimensionless;300 K;10.1007/s10904-025-03800-w;;;
Ba2CePtO6;ZT value;0.998;dimensionless;298.15 K;10.1007/s11082-023-06113-9;;;
Ba2CePtO6;ZT value;0.84;dimensionless;298.15 K;10.1007/s11082-023-06113-9;;;
Ba2CeZrO6;ZT value;0.65;dimensionless;800 K;10.1007/s11082-023-06113-9;;;
Ba2Co9O14;ZT value;0.032;unitless;660 K;10.1016/j.jeurceramsoc.2017.01.034;;;
Ba2Co9O14;ZT value;0.04;unitless;1000 K;10.1016/j.jeurceramsoc.2017.01.034;;;
Ba2Co9O14;ZT value;0.04;unitless;1000 K;10.1016/j.jeurceramsoc.2017.01.034;;;
Ba2Co9O14;ZT value;0.032;unitless;660 K;10.1016/j.jeurceramsoc.2017.01.034;;;
Ba2Co9O14;ZT value;0.04;unitless;1000 K;10.1016/j.jeurceramsoc.2017.01.034;;;
Ba2GaNbO6;ZT value;0.005;dimensionless;200 K;10.1007/s12648-023-02758-0;;;
Ba2GaNbO6;ZT value;0.64;dimensionless;1200 K;10.1007/s12648-023-02758-0;;;
Ba2GdNbO6;ZT value;0.025;dimensionless;800 K;10.1007/s11696-024-03846-z;;;
Ba2GdNbO6;ZT value;0.005;dimensionless;50 K;10.1007/s11696-024-03846-z;;;
Ba2GdNbO6;ZT value;0.005;dimensionless;50 K;10.1007/s11696-024-03846-z;;;
Ba2GdNbO6;ZT value;0.025;dimensionless;800 K;10.1007/s11696-024-03846-z;;;
Ba2GdTaO6;ZT value;0.998;dimensionless;400 K;10.1007/s11082-024-06580-8;;;
Ba2GdTaO6;ZT value;0.994;dimensionless;100 K;10.1007/s11082-024-06580-8;;;
Ba2GdTaO6;ZT value;0.998;dimensionless;520 K;10.1007/s11082-024-06580-8;;;
Ba2GdUO6;ZT value;0.01;dimensionless;50 K;10.1007/s11696-024-03846-z;;;
Ba2GdUO6;ZT value;0.12;dimensionless;800 K;10.1007/s11696-024-03846-z;;;
Ba2GdUO6;ZT value;0.12;dimensionless;800 K;10.1007/s11696-024-03846-z;;;
Ba2GdUO6;ZT value;0.01;dimensionless;50 K;10.1007/s11696-024-03846-z;;;
Ba2KIO6;ZT value;0.7;dimensionless;1000 K;10.1007/s11082-024-07079-y;;;
Ba2KIO6;ZT value;0.66;dimensionless;1000 K;10.1007/s11082-024-07079-y;;;
Ba2LiIO6;ZT value;0.613;dimensionless;1000 K;10.1007/s10904-024-03109-0;;;
Ba2MgTeO6;ZT value;0.594;dimensionless;800 K;10.1007/s10904-024-03115-2;;;
Ba2MgTeO6;ZT value;0.124;dimensionless;298.15 K;10.1007/s10904-024-03115-2;;;
Ba2NbAsO6;ZT value;0.87;dimensionless;900 K;10.1007/s10948-025-06981-0;;;
Ba2NbBiO6;ZT value;0.83;dimensionless;900 K;10.1007/s10948-025-06981-0;;;
Ba2NbRhO6;ZT value;0.76;dimensionless;298.15 K;10.1007/s10904-024-03336-5;;;
Ba2NbRhO6;ZT value;0.76;dimensionless;298.15 K;10.1007/s10904-024-03336-5;;;
Ba2NbSbO6;ZT value;0.81;dimensionless;900 K;10.1007/s10948-025-06981-0;;;
Ba2NbSbO6;ZT value;0.89;dimensionless;900 K;10.1007/s10948-025-06981-0;;;
Ba2WMgO6;ZT value;0.03;dimensionless;300 K;10.1007/s10904-024-03376-x;;;
Ba2WMgO6;ZT value;0.03;dimensionless;300 K;10.1007/s10904-024-03376-x;;;
Ba2WMgO6;ZT value;0.6;dimensionless;1200 K;10.1007/s10904-024-03376-x;;;
Ba2YbTaO6;ZT value;0.997;dimensionless;370 K;10.1007/s11082-024-06580-8;;;
Ba2YbTaO6;ZT value;0.998;dimensionless;540 K;10.1007/s11082-024-06580-8;;;
Ba2YbTaO6;ZT value;0.998;dimensionless;190 K;10.1007/s11082-024-06580-8;;;
Ba3Al3P5;ZT value;0.49;unitless;500 K;10.1016/j.jallcom.2015.02.133;;;
Ba3Al3P5;ZT value;0.49;unitless;500 K;10.1016/j.jallcom.2015.02.133;;;
Ba3Al3P5;ZT value;0.49;unitless;500 K;10.1016/j.jallcom.2015.02.133;;;
Ba3CaTa2O9;ZT value;0.998;dimensionless;300 K;10.1007/s10904-025-03789-2;;;
Ba3FeNb2O9;ZT value;0.991;dimensionless;300 K;10.1007/s10948-023-06543-2;;;
Ba3Ga3P5;ZT value;0.65;unitless;800 K;10.1016/j.jallcom.2015.02.133;;;
Ba3Ga3P5;ZT value;0.65;unitless;800 K;10.1016/j.jallcom.2015.02.133;;;
Ba3Ga3P5;ZT value;0.65;unitless;800 K;10.1016/j.jallcom.2015.02.133;;;
Ba3Ga3P5;ZT value;0.65;unitless;800 K;10.1016/j.jallcom.2015.02.133;;;
Ba3MnNb2O9;ZT value;0.99;dimensionless;300 K;10.1007/s10948-023-06543-2;;;
Ba4CuGa5S12;ZT value;0.45;unitless;800 K;10.1016/j.jmmm.2014.02.002;;;
Ba4CuGa5Se12;ZT value;0.924;unitless;300 K;10.1016/j.jmmm.2014.02.002;;;
Ba5.19Nd8.54Ti18O54;ZT value;0.16;dimensionless;1000 K;10.1007/s11664-015-4275-6;;;
Ba6CePtO6 (DPO);ZT value;0.998;dimensionless;300 K;10.1007/s11082-023-06113-9;;;
Ba6CePtO6 (DPO);ZT value;0.841;dimensionless;300 K;10.1007/s11082-023-06113-9;;;
Ba7.7Yb0.3Ni0.1Zn0.54Ga13.8Ge31.56;ZT value;0.91;dimensionless;900 K;10.1007/s11664-016-5013-4;;;
Ba7Sr1Al14Si32;ZT value;0.1;unitless;450 °C;10.1016/j.matdes.2015.08.096;;;
Ba8Ag4.1Ge41.4;ZT value;0.42;unitless;800 K;10.1016/j.actamat.2010.12.033;;;
Ba8Al14Si31;ZT value;0.1;unitless;450 °C;10.1016/j.matdes.2015.08.096;;;
Ba8Al14Si31;ZT value;0.08;unitless;450 °C;10.1016/j.matdes.2015.08.096;;;
Ba8Al15Si31;ZT value;0.09;unitless;450 °C;10.1016/j.matdes.2015.08.096;;;
Ba8Al15Si31;ZT value;0.4;dimensionless;900 K;10.1007/s11664-014-3385-x;;;
Ba8Al15Si31;ZT value;0.4;dimensionless;900 K;10.1007/s11664-013-2887-2;;;
Ba8Al15Si31 clathrate;ZT value;0.4;dimensionless;700 K;10.1007/s11664-014-3385-x;;;
Ba8Al15Si31 clathrate;ZT value;0.24;dimensionless;1000 K;10.1007/s11664-016-5219-5;;;
Ba8Au5.33Ge40.67;ZT value;0.9;unitless;680 K;10.1016/j.jallcom.2013.10.104;;;
Ba8Au5.33Ge40.67;ZT value;0.63;unitless;738 K;10.1016/j.jallcom.2013.10.104;;;
Ba8Au5.3Ge40.7;ZT value;0.9;unitless;680 K;10.1016/j.mser.2016.08.001;;;
Ba8Au5.3Ge40.7;ZT value;0.3;unitless;227 °C;10.1016/j.pmatsci.2016.07.002;;;
Ba8Au5.3Ge40.7;ZT value;0.9;unitless;680 K;10.1016/j.jallcom.2013.10.104;;;
Ba8Au5.3Ge40.7;ZT value;0.9;unitless;407 °C;10.1016/j.pmatsci.2016.07.002;;;
Ba8Au5.47Ge39.96;ZT value;0.63;unitless;740 K;10.1016/j.jallcom.2013.10.104;;;
Ba8AuGa13Ge32;ZT value;0.62;unitless;738 K;10.1016/j.jallcom.2013.10.104;;;
Ba8AuxGe46−x;ZT value;0.9;unitless;680 K;10.1016/j.intermet.2012.12.010;;;
Ba8Cu4.8Si41.2;ZT value;0.3;dimensionless;870 K;10.1007/s11664-015-4242-2;;;
Ba8Cu4.8Si41.2;ZT value;0.3;dimensionless;870 K;10.1007/s11664-015-4242-2;;;
Ba8Cu5Si16Ge<25;ZT value;<0.3;unitless;not specified;10.1016/j.jallcom.2015.10.188;;;
Ba8Cu6Ge24Si16;ZT value;0.42;unitless;673 K;10.1016/j.jallcom.2016.04.210;;;
Ba8Cu6Ge24Si16;ZT value;0.42;unitless;673 K;10.1016/j.jallcom.2016.04.210;;;
Ba8Cu6Ge24Si16;ZT value;0.42;unitless;673 K;10.1016/j.jallcom.2016.04.210;;;
Ba8Cu6Ge40;ZT value;0.0074;unitless;300 K;10.1016/j.jallcom.2008.08.044;;;
Ba8Cu6Ge40;ZT value;0.0074;unitless;300 K;10.1016/j.jallcom.2008.08.044;;;
Ba8Cu6Si16Ge24;ZT value;0.55;unitless;673 K;10.1016/j.jallcom.2015.10.188;;;
Ba8Cu6Si17Ge23 clathrate alloy nanowire;ZT value;0.4;dimensionless;298.15 K;10.1557/mrc.2018.242;;;
Ba8Cu6Si40 clathrate;ZT value;0.07;dimensionless;400 K;10.1557/mrc.2018.242;;;
Ba8Ga10Al6Sn30;ZT value;1.2;dimensionless;500 K;10.1007/s11664-011-1555-7;;;
Ba8Ga15.7In0.2Sn30.1 (x = 0.20);ZT value;1.05;dimensionless;540 K;10.1007/s11664-013-2909-0;;;
Ba8Ga15.9Sn30.1−xGex;ZT value;0.87;unitless;540 K;10.1016/j.physb.2016.08.035;;;
Ba8Ga15Ge85;ZT value;1.25;unitless;627 °C;10.1016/j.pmatsci.2016.07.002;;;
Ba8Ga16.4Sn25.0Ge4.6;ZT value;0.62;unitless;550 K;10.1016/j.physb.2016.08.035;;;
Ba8Ga16.65Cu0.125Sn30.25;ZT value;1.45;dimensionless;520 K;10.1007/s11664-013-2909-0;;;
Ba8Ga16.9Sn19.8Ge9.3;ZT value;0.63;unitless;600 K;10.1016/j.physb.2016.08.035;;;
Ba8Ga16Ge30;ZT value;1;unitless;500 °C;10.1016/j.jallcom.2017.11.059;;;
Ba8Ga16Ge30;ZT value;1;unitless;500 °C;10.1016/j.jallcom.2017.11.059;;;
Ba8Ga16Ge30;ZT value;0.8;unitless;727 °C;10.1016/j.pmatsci.2016.07.002;;;
Ba8Ga16Ge30;ZT value;0.62;unitless;800 K;10.1016/j.jallcom.2009.04.072;;;
Ba8Ga16Ge30;ZT value;0.93;unitless;850 K;10.1016/j.nanoen.2012.10.005;;;
Ba8Ga16Ge30;ZT value;1;unitless;800 K;10.1016/j.jallcom.2017.06.110;;;
Ba8Ga16Ge30;ZT value;0.53;unitless;738 K;10.1016/j.jallcom.2013.10.104;;;
Ba8Ga16Ge30;ZT value;1.35;unitless;900 K;10.1016/j.jallcom.2015.09.023;;;
Ba8Ga16Ge30;ZT value;0.8;unitless;1050 K;10.1016/j.jallcom.2013.10.104;;;
Ba8Ga16Ge30;ZT value;1.35;unitless;900 K;10.1016/j.jallcom.2016.04.210;;;
Ba8Ga16Ge30;ZT value;0.93;unitless;850 K;10.1016/j.jallcom.2009.11.045;;;
Ba8Ga16Ge30;ZT value;1.14;dimensionless;500 °C;10.1007/s11837-021-04976-5;;;
Ba8Ga16Ge30;ZT value;1.63;dimensionless;1100 K;10.1007/s11664-011-1590-4;;;
Ba8Ga16Ge30;ZT value;1.35;unitless;900 K;10.1016/j.jallcom.2015.10.188;;;
Ba8Ga16Ge30;ZT value;1.35;unitless;627 °C;10.1016/j.pmatsci.2016.07.002;;;
Ba8Ga16Ge30;ZT value;1.63;unitless;1100 K;10.1016/j.actamat.2017.02.064;;;
Ba8Ga16Ge30;ZT value;0.8;unitless;1050 K;10.1016/j.jallcom.2009.04.072;;;
Ba8Ga16Ge30;ZT value;1.35;unitless;900 K;10.1016/j.intermet.2012.12.010;;;
Ba8Ga16Ge30;ZT value;1.35;unitless;900 K;10.1016/j.mser.2016.08.001;;;
Ba8Ga16Ge30;ZT value;1.3;unitless;1000 K;10.1016/j.jallcom.2009.04.072;;;
Ba8Ga16Ge30;ZT value;0.8;unitless;953 K;10.1016/j.jallcom.2009.11.045;;;
Ba8Ga16Ge30;ZT value;0.86;unitless;950 K;10.1016/j.jallcom.2010.07.121;;;
Ba8Ga16Ge30;ZT value;1.3;unitless;1000 K;10.1016/j.nanoen.2012.10.005;;;
Ba8Ga16Ge30;ZT value;1.63;unitless;827 °C;10.1016/j.pmatsci.2016.07.002;;;
Ba8Ga16Ge30;ZT value;0.8;unitless;1050 K;10.1016/j.mser.2016.08.001;;;
Ba8Ga16Ge30;ZT value;0.8;unitless;1050 K;10.1016/j.jallcom.2009.11.045;;;
Ba8Ga16Ge30;ZT value;1.35;dimensionless;900 K;10.1007/s11664-013-2909-0;;;
Ba8Ga16Ge30;ZT value;0.8;unitless;850 K;10.1016/j.jallcom.2009.04.072;;;
Ba8Ga16Ge30;ZT value;0.93;unitless;850 K;10.1016/j.jallcom.2009.04.072;;;
Ba8Ga16Ge30;ZT value;1;unitless;500 °C;10.1016/j.jallcom.2017.11.059;;;
Ba8Ga16Ge30;ZT value;1.35;unitless;900 K;10.1016/j.actamat.2017.02.064;;;
Ba8Ga16Ge30 clathrate;ZT value;1.63;dimensionless;1100 K;10.1007/s42452-019-1696-5;;;
Ba8Ga16Ge30 (n-type);ZT value;1.35;dimensionless;900 K;10.1007/s10854-016-5113-1;;;
BeYF3;ZT value;4.76;dimensionless;1300 K;10.1140/epjp/s13360-024-04921-w;;;
Ba8Ga16Ge30 (p-type);ZT value;1.1;dimensionless;900 K;10.1007/s10854-016-5113-1;;;
Ba8Ga16Ge30 (p-type);ZT value;1.1;dimensionless;823 K;10.1038/s41598-020-59820-8;;;
Ba8Ga16Si30;ZT value;0.8;dimensionless;900 K;10.1007/s11664-020-08649-y;;;
Ba8Ga16Si30;ZT value;0.9;unitless;870 K;10.1016/j.jallcom.2010.07.121;;;
Ba8Ga16Si30 (SPSed at 1000°C);ZT value;0.033;dimensionless;117 °C;10.1007/s12613-015-1046-6;;;
Ba8Ga16Si30 (SPSed at 700°C);ZT value;0.0025;dimensionless;117 °C;10.1007/s12613-015-1046-6;;;
Ba8Ga16Si30 (SPSed at 800°C);ZT value;0.045;dimensionless;117 °C;10.1007/s12613-015-1046-6;;;
Ba8Ga16Sn30;ZT value;0.9;unitless;450 K;10.1016/j.jallcom.2010.07.121;;;
Ba8Ga16Sn30;ZT value;0.88;unitless;500 K;10.1016/j.jallcom.2012.05.049;;;
Ba8Ga16Sn30;ZT value;0.9;unitless;177 °C;10.1016/j.jcrysgro.2014.06.035;;;
